Portfolio,Overall Profit (%),Last 1 Year Profit (%),Last 60 Days Profit (%),Sharpe Ratio,Sortino Ratio,Max Drawdown
"TI, ARVIND, INDIAGLYCO, BSE, COFORGE",2313.0019710697306,486.5272373503384,63.9274402102906,0.6034300221193482,4.143152895464877,-0.7047443293934048
"TI, TRENT, BSE, COFORGE, BAJFINANCE",2301.4132307335026,262.0986757317089,42.24606829382556,0.6400027269311118,4.882357110115478,-0.4995621616620648
"TI, INDIAGLYCO, PERSISTENT, BSE, HCG",2284.9554466327,408.9060808568057,72.55245429306444,0.5994261860472481,4.631602368248767,-0.7078698814164976
"PRECWIRE, INDIAGLYCO, PERSISTENT, BSE, ANGELONE",2283.10416804559,271.13159026182416,33.54836580718508,0.6601569768132466,7.345490488182744,-0.6236561819813284
"TI, ARVIND, TRENT, INDIAGLYCO, PERSISTENT",2266.383493719196,336.6078871668331,56.789081039670904,0.634291930553677,4.203465083276699,-0.5949607944303179
"TI, ARVIND, PRECWIRE, BSE, BAJFINANCE",2259.45215408502,222.373110500348,40.10542067109155,0.6185459461886883,3.5614858326484575,-0.7554898233887272
"TI, ARVIND, TRENT, BSE, BAJFINANCE",2256.247625966711,283.8614579479679,38.7108398689672,0.6320045268141393,4.319134088670281,-0.622238345841358
"TI, ARVIND, TRENT, BSE, COFORGE",2240.7050794364386,596.3278865798208,52.71689397297992,0.6043193512020809,5.043272840136259,-0.6152668588749158
"TRENT, PRECWIRE, PERSISTENT, BSE, COFORGE",2220.92291558431,522.8235963097723,51.75851540146736,0.6024607502794698,6.160649231511613,-0.6593415396083616
"TI, ARVIND, PERSISTENT, BSE, BAJFINANCE",2217.998581891882,213.54395613928725,39.46871263150968,0.5885649633883371,4.462035024940267,-0.6615547192866856
"TI, TRENT, PERSISTENT, CANBK, ABCAPITAL",2214.4838504603176,138.7190150337351,24.914597594893138,0.6280328425476314,5.253829797304413,-0.5953943001906634
"TI, PERSISTENT, BSE, COFORGE, ANGELONE",2212.35562612195,409.4028701078686,41.32399890198577,0.6789276165782407,7.428134311582354,-0.7048507861601286
"TI, TRENT, BSE, COFORGE, ABCAPITAL",2205.8628227895915,259.14777171773414,31.575481289763797,0.6324666393646248,5.18613487960954,-0.5293824004363251
"TI, ARVIND, PRECWIRE, PERSISTENT, BAJFINANCE",2199.903576370754,138.81950575085193,40.26293051535006,0.5842570679077072,4.329808881679504,-0.6797984839557525
"TI, TRENT, PRECWIRE, PERSISTENT, ANGELONE",2185.5825578013923,290.78035810668996,32.89044604160885,0.7143604099218211,7.605387022140443,-0.5702426397347604
"TI, PERSISTENT, BSE, BANKBARODA, BAJFINANCE",2184.9934962820116,171.6258472459402,15.644282077313543,0.5883808171265679,4.756303883501001,-0.6466301789979828
