Portfolio,Profit_2019_(%),Profit_2020_(%),Profit_2021_(%),Profit_2022_(%),Profit_2023_(%),Profit_2024_(%),Profit_2025_(%)
"TI, INDIAGLYCO, PERSISTENT, BSE, BHARTIARTL",4.974216267585452,-31.36528130201318,-1.4926350500057195,236.31312105558357,40.01106636712684,38.239736315888905,374.884305420927
"TI, ARVIND, TRENT, PERSISTENT, ABCAPITAL",1.0962229847325755,-36.18077721663481,33.714948454778735,251.4163647005568,22.553977114568525,91.29334612239693,207.57855899399448
"PERSISTENT, BSE, COFORGE, ANGELONE, ABCAPITAL",0.0,-19.96527012956879,-6.900010385698718,378.4565448779704,4.871778573663721,40.03291583761217,317.18982639809025
"TI, PRECWIRE, PERSISTENT, BSE, BHARTIARTL",8.095789221863336,-29.73025862721371,7.7415069926995095,232.35422789367962,16.661250353113477,47.62657555762901,365.88180752829186
"TI, BSE, UNIONBANK, ABCAPITAL, BAJFINANCE",8.818279670210117,-30.18563193521465,6.168427502683671,178.52940875177387,50.0442652560515,137.22240922100514,171.38272061225112
"TI, PRECWIRE, BSE, COFORGE, ANGELONE",0.0,-21.388397472954047,-45.085661163021186,377.4447451769479,26.152257353796248,64.5547002488797,403.03639967198217
"TI, TRENT, BSE, BHARTIARTL, BAJFINANCE",-4.270069262998066,8.478520722931515,8.20013739912644,148.03389468030622,29.097470455692687,80.26604571552724,231.74785952749534
"TI, TRENT, PERSISTENT, BSE, ANGELONE",0.0,-18.357811206566875,-37.38566454258746,317.71736875255374,-10.268642179423637,79.93626675726173,522.7289425442416
"TI, PERSISTENT, BSE, HCG, BAJFINANCE",8.47048608086527,-46.888352440878315,9.51983990301606,304.47689826165566,33.557167628669916,70.33703346927835,269.4951860443387
"PRECWIRE, INDIAGLYCO, PERSISTENT, BSE, COFORGE",0.6929246258185584,-62.04298145575281,-2.9618289138764964,444.45241388398733,25.820147867994358,26.61680395830437,564.9642420603445
"TI, PRECWIRE, BSE, COFORGE, BAJFINANCE",-7.036353460110933,-33.50011742782249,4.32593937649417,274.0905643702351,47.937234638938044,71.51688219250386,248.2772860988929
"TI, PRECWIRE, PERSISTENT, BSE, ANGELONE",0.0,-22.104652027017668,-39.38295504502298,437.1578839509203,0.10850254371559398,67.59600619340563,400.70934690682816
"TI, BSE, COFORGE, UNIONBANK, ABCAPITAL",1.8898972434150618,-39.35678272967566,9.099427903645662,223.8756471306607,35.2278532981184,83.78511375331028,292.2734825065203
"TI, ARVIND, PERSISTENT, BSE, ANGELONE",0.0,-24.411069509302273,-44.550037344728224,526.4137719480489,-12.902911153786334,72.98011876808927,434.346313869291
"PRECWIRE, PERSISTENT, BSE, ANGELONE, BAJFINANCE",0.0,-22.04399257071049,-16.607835103126366,374.63852326074453,14.663632005626948,69.08371083532572,253.18410100808305
"TRENT, PRECWIRE, PERSISTENT, BSE, ANGELONE",0.0,-16.964131766119106,-19.337290982597487,292.9921412761985,-15.373343166451836,73.6146300891996,445.72519524327026
