combination_symbols,sharpe_ratio,benchmark_sharpe,sortino_ratio,benchmark_sortino,total_profit_pct,profit_last_year_pct,profit_last_60_days_pct,rejection_reasons,max_drawdown
"SUNPHARMA, BANKBARODA, CANBK, AHLEAST, DLF",0.29655145203341515,0.45258528438627393,0.5919368939801021,1.6172197553771834,3.491788910386462,12.166704562863684,-2.14153691976946,Sharpe 0.30 <= Benchmark 0.45; Sortino 0.59 <= Benchmark 1.62; Profit last 60 days -2.14% <= 0,-0.8934857150865038
"SUNPHARMA, BANKBARODA, CANBK, BIOCON, TRENT",0.5536262890285442,0.45258528438627393,2.3751239953963363,1.6172197553771834,425.8619217205579,114.60507281978178,-2.144748534726637,Profit last 60 days -2.14% <= 0,-0.5836703682364129
"SUNPHARMA, BANKBARODA, CANBK, BIOCON, IRFC",0.5025339551406101,0.45258528438627393,6.902214596885041,1.6172197553771834,2942.577423275599,-5.007426434004181,-9.242542994266978,Profit last year -5.01% <= 0; Profit last 60 days -9.24% <= 0,-0.5876154652697712
"SUNPHARMA, BANKBARODA, CANBK, BIOCON, DLF",0.2689005905988054,0.45258528438627393,0.4514986398014202,1.6172197553771834,0.3717289158925219,0.8956616263238182,-4.792383140728262,Sharpe 0.27 <= Benchmark 0.45; Sortino 0.45 <= Benchmark 1.62; Profit last 60 days -4.79% <= 0,-0.8040851852816355
"SUNPHARMA, BANKBARODA, CANBK, TRENT, IRFC",0.5130689776039484,0.45258528438627393,12.410866894400256,1.6172197553771834,19685.192211369107,148.01890134645942,-6.713263836188254,Profit last 60 days -6.71% <= 0,-0.6760189096962159
"SUNPHARMA, BANKBARODA, CANBK, TRENT, DLF",0.4850307296859841,0.45258528438627393,2.0003224965673176,1.6172197553771834,235.92958659711775,113.11144431745954,-5.233910024154564,Profit last 60 days -5.23% <= 0,-0.6685876570704246
"SUNPHARMA, BANKBARODA, CANBK, IRFC, DLF",0.4852498013790481,0.45258528438627393,11.806713601288852,1.6172197553771834,10220.92682460006,8.914228311241468,-9.621810071137638,Profit last 60 days -9.62% <= 0,-0.6107353651420157
"SUNPHARMA, BANKBARODA, PRECWIRE, AHLEAST, BIOCON",0.31684321042555474,0.45258528438627393,0.5096500129866449,1.6172197553771834,17.9465193823209,11.3845144143081,-6.585921334138389,Sharpe 0.32 <= Benchmark 0.45; Sortino 0.51 <= Benchmark 1.62; Profit last 60 days -6.59% <= 0,-0.7539798361286585
"SUNPHARMA, BANKBARODA, PRECWIRE, AHLEAST, IRFC",0.5353586184003933,0.45258528438627393,11.457973768521933,1.6172197553771834,15809.268697574074,25.83148466728162,-4.792895804321051,Profit last 60 days -4.79% <= 0,-0.5953293709012057
"SUNPHARMA, BANKBARODA, PRECWIRE, AHLEAST, DLF",0.41477198106453134,0.45258528438627393,0.9646285257161746,1.6172197553771834,94.8898683048969,27.436160937730335,-4.022464276457239,Sharpe 0.41 <= Benchmark 0.45; Sortino 0.96 <= Benchmark 1.62; Profit last 60 days -4.02% <= 0,-0.8502960684336595
"SUNPHARMA, BANKBARODA, PRECWIRE, BIOCON, TRENT",0.5830442166345567,0.45258528438627393,2.9295992377532483,1.6172197553771834,648.2138579520151,75.78770036232656,-2.729888081480314,Profit last 60 days -2.73% <= 0,-0.49552042494766113
"SUNPHARMA, BANKBARODA, PRECWIRE, BIOCON, IRFC",0.5554540101817408,0.45258528438627393,7.579572004159935,1.6172197553771834,5447.9019854715525,13.221496396784737,-9.321056712325483,Profit last 60 days -9.32% <= 0,-0.5608385215009749
"SUNPHARMA, BANKBARODA, PRECWIRE, BIOCON, DLF",0.35564976590932734,0.45258528438627393,0.6264382283768035,1.6172197553771834,36.60985667385035,18.59018911099104,-7.352466024755422,Sharpe 0.36 <= Benchmark 0.45; Sortino 0.63 <= Benchmark 1.62; Profit last 60 days -7.35% <= 0,-0.7520512239769744
